,title,desc,date,datetime,link,img,media,site
32,"Current District 8 Alder, legislative assistant to run for District 2 Alder",bookmark_border,Yesterday,2022-12-01 19:51:57.051824,news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmRhaWx5Y2FyZGluYWwuY29tL2FydGljbGUvMjAyMi8xMi9jdXJyZW50LWRpc3RyaWN0LTgtYWxkZXItbGVnYWwtYXNzaXN0YW50LXRvLXJ1bi1mb3ItZGlzdHJpY3QtMi1hbGRlctIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/u2NeQZEydM4Deax__Bmk2cB1SMmcJaIXFeQZ4TBBL4ecquwmyncKcDXVJAa5xnGLjMLRuM9vJxrO42zhOpA-FmhF_HqF3pMHwncK7mj3TYxLV6joGvKabpr5T85if9-Eifc7SOYxlf-zIABHB1ttLCo7QNQXPcsTxdR9=s0-w100-h100-dcjUKepqIpRYcC,,
33,Northeast Wisconsin's Critical Shortage Of Affordable Housing Has Deep Roots,bookmark_border,"Jun 12, 2021",2021-06-12 00:00:00.000000,news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3Lndwci5vcmcvbm9ydGhlYXN0LXdpc2NvbnNpbnMtY3JpdGljYWwtc2hvcnRhZ2UtYWZmb3JkYWJsZS1ob3VzaW5nLWhhcy1kZWVwLXJvb3Rz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/u-LSflJCpHNbkKXv20MRCuWBVrRigvc1OxDSFHROOT_JTaRniqG1_aDTnPvshuLlCVbUva3EVyEEnTsyTDiDXy9791fGdPMfo4I5v9IvMkY9IuXbf2Mvqs53EJBIUzOM=s0-w100-h100-dcmaCKCr4F,,
34,Wisconsin groups offer new 'cookbook' to spur affordable housing development. Here's the recipe.,bookmark_border,Mar 5,,news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3Lndwci5vcmcvd2lzY29uc2luLWdyb3Vwcy1vZmZlci1uZXctY29va2Jvb2stc3B1ci1hZmZvcmRhYmxlLWhvdXNpbmctZGV2ZWxvcG1lbnQtaGVyZXMtcmVjaXBl0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/kjahrCZpKryvZ8OaB5rwIrY_4MJBomIFWTlHqOFC-VLPRU4L2LQtAB3O-hw-Y82jhhMpwbY6u2q4_o1_n3DcILmFyogWSDkbkgDy4DjCQcRLzCSZUEmbyw=s0-w100-h100-dcAeCEl1AD,,
35,'Housing First' cut homelessness in Milwaukee — can it work across Wisconsin?,bookmark_border,Jun 8,,news.google.com/./articles/CBMibGh0dHBzOi8vcGJzd2lzY29uc2luLm9yZy9uZXdzLWl0ZW0vaG91c2luZy1maXJzdC1jdXQtaG9tZWxlc3NuZXNzLWluLW1pbHdhdWtlZS1jYW4taXQtd29yay1hY3Jvc3Mtd2lzY29uc2luL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/om9bcvDHmHRYMoJnIUYGNpxtnU5eZTCXSQ-AnVyBrCBBk1-swEq_-FfsjJCogXCmkrjQPKPy-wjrVe-uekWSi2uepicCiz6VSSj1C1dkjDDB_h7qEnZf8JnZxXCV7tAEVfwG_JbD2OG6xPAEnRzQhF0CyMScGzPIZIyNSGLmsg5L3JrlV-6t-3tEVzZYahCHpxo3fA=s0-w100-h100-dcGUOOqjEG,,
36,"As short-term vacation rentals boom, Northwoods housing shortage becomes ""more and more of a crisis""",bookmark_border,Jan 3,,news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lnd4cHIub3JnL2J1c2luZXNzLWVjb25vbWljcy8yMDIyLTAxLTAzL25vcnRod29vZHMtaG91c2luZy1zaG9ydGFnZS1pcy1iZWNvbWluZy1tb3JlLWFuZC1tb3JlLW9mLWEtY3Jpc2lz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/bnhOb-b9NDuRjmCc1FUx64Dn2sdKPTAE00z6wve43_RrSs9RbsLLZbhTL8LFUU7nCXKrFfvKMpgcbyqTTFmD6cG--PlyRSMfHUk-5gIAgDdvgS4kyuiHwIOSCID48K6gm-BnXvS44UFLa9OCzeEWzQBrl0m80Q=s0-w100-h100-dcLWSUby0H,,
37,Cost of living: Market forces and low wages combine to create big gaps in affordable housing in Wisconsin,bookmark_border,"Jun 7, 2021",2021-06-07 00:00:00.000000,news.google.com/./articles/CBMingFodHRwczovL3d3dy5ncmVlbmJheXByZXNzZ2F6ZXR0ZS5jb20vaW4tZGVwdGgvbmV3cy8yMDIxLzA2LzA3L2Nvc3QtbGl2aW5nLW1hcmtldC1mb3JjZXMtd2FnZXMtY29tYmluZS1jcmVhdGUtYmlnLWdhcHMtYWZmb3JkYWJsZS1ob3VzaW5nLXdpc2NvbnNpbi83MzU3NTk0MDAyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/DqDb1WcTpwMsGWmy6OBzUvUlAGPbMgRKlbOdZcuHL0GOiroBUJuwy_z1BqCeEQuceuek64jQc_BrTwoYE10Vn1inHqvV5NShDrO2jUpeMN9cdXc6te8xfP0b0W786NFNZ5pKe-Ahv4ED7mkW8SbZozRLZaOLrXeT3Ftrpz7-nOQPo0c7leCvJqdTm9tc4OZ9lBc90oGQgQnAM9nYGZoq7dKpRnXdR3y6ZnAH8_cz=s0-w100-h100-dcmaCKCroF,,
38,Houses were once plentiful across the U.S. Now half of cities don't have enough homes.,bookmark_border,Jul 22,,news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvcmVhbC1lc3RhdGUtaG91c2luZy1zaG9ydGFnZS1jcmlzaXMv0gFFaHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vYW1wL25ld3MvcmVhbC1lc3RhdGUtaG91c2luZy1zaG9ydGFnZS1jcmlzaXMv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/1vVhvV0vwVP90GZOlmU5sPyZyy3vE2LI7jt-aDghvv4UVv8kZ_Aq6RI-DCCWzrhKKZb2-DzxjCDDSCvLO1T7xIIcxIUmpEJpBuoK5-MGwPOC4soFg-uQwOETQI3FKdpjB0dD6Rf-GfHJjJyO59sAE0Ks-ISMttGbcJ-85AuY_2lo96KGduWDAUwl-MYQSOd2ZYuKJZSg2hwWpakZeAlSeNoGw9FVfQOMSnSS395J506516d6eL0yT4xuB08_UkZQB5QkQYv9V77kPQVCrWnR6AaGyH_-bz68l4ZQlC3n3ez8mxju3rtTHNPJ36u7_zado2f3soBMmqGjj8ONc3Xr-T2mXbyJmmC34_XBVfxIFrGsGBRnBEzojXl3Y7eH63kqY16cPKO4=s0-w100-h100-dcjdiEplID,,
39,Here's why it's so hard to buy an affordable home in northeast Wisconsin,bookmark_border,"Jun 23, 2021",2021-06-23 00:00:00.000000,news.google.com/./articles/CBMiZ2h0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjEvMDYvaGVyZXMtd2h5LWl0cy1zby1oYXJkLXRvLWJ1eS1hbi1hZmZvcmRhYmxlLWhvbWUtbm9ydGhlYXN0LXdpc2NvbnNpbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/66zkoZV3Ee6bGvsA_wWvClsg8aQ83NiC3i12H-l7gNbKD5Jut_LI243Svo9Gz5unGvrFo-SiDMTpE6iNz2N7SgMU9mh-bjHBJvVb6z9cO377lRthQyVytsRtjgQs2Zcx7pFBgL1D--b5dVEkK3n3n8v__kR6nhe6Sw4INIA1drKAdg=s0-w100-h100-dcLXOKcCkI,,
40,Report: Many WI Renters Struggle to Meet Housing Costs,bookmark_border,May 8,,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnNlZWhhZmVybmV3cy5jb20vMjAyMi8wNS8wOC9yZXBvcnQtbWFueS13aS1yZW50ZXJzLXN0cnVnZ2xlLXRvLW1lZXQtaG91c2luZy1jb3N0cy0yL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/xbVCZ3Fuoup7F8ynEiTICbRejSB2I8Pr-HqAnkDvTpMYDG1xQlXzp-6nKeYQbIoES5Qz7KBEiBKsI7ZrEOruoS8RFlZq2ZVR8jJ0hQNd4rJGockd9BRhKbxHOZMeaz7u22kwIYR5e8WEZWeY8rVnvrFMCrUpX2ZUvRqhM6oGqpVu4gfz8cc=s0-w100-h100-dcgQKSDq0G,,
41,An affordable housing crisis: Afghan refugees in Madison,bookmark_border,"Nov 11, 2021",2021-11-11 00:00:00.000000,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmNoYW5uZWwzMDAwLmNvbS9hbi1hZmZvcmRhYmxlLWhvdXNpbmctY3Jpc2lzLWFmZ2hhbi1yZWZ1Z2Vlcy1pbi1tYWRpc29uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/roH8SiQBAWxzz9fKgf04HLypf48fnl9jT7hXLWKn6dy_fz4P4aLc2GyFiPWQbJweoY8d_rv6x63hA3mh-5WQ9IDpeQ5OnjK6md-qUgZLiJtkLhFaZ7uu2MCy3ZaF62QCS2jcKZsCeKOg6ksR-qG6LOkXOcOumlPx2dTtHosJAzA6-r0Hw8BswrEexCuMJIsW_hG-4b7Zt57FKRg3J3aLYes=s0-w100-h100-dcAXCIs6gI,,
