Zip,Number of Sites,Site Density Category,Population,Sites Per 1000 People,Sites Per Capita
53001,2,1,1806,1.1074197120708749,0.0011074197120708748
53002,2,1,2181,0.9170105456212746,0.0009170105456212746
53003,1,1,138,7.246376811594202,0.007246376811594203
53004,4,1,3428,1.1668611435239207,0.0011668611435239206
53005,63,2,20514,3.0710734132787367,0.0030710734132787364
53006,5,1,1735,2.881844380403458,0.002881844380403458
53007,8,1,1964,4.0733197556008145,0.004073319755600814
53010,6,1,8099,0.7408322015063588,0.0007408322015063588
53012,23,1,18532,1.2410964817612777,0.0012410964817612777
53013,3,1,3428,0.8751458576429405,0.0008751458576429405
53014,39,1,7512,5.1916932907348246,0.005191693290734824
53015,5,1,2916,1.7146776406035666,0.0017146776406035665
53016,2,1,346,5.780346820809249,0.005780346820809248
53018,16,1,8031,1.9922799153281034,0.0019922799153281037
53019,1,1,1763,0.5672149744753262,0.0005672149744753262
53020,3,1,3845,0.7802340702210663,0.0007802340702210664
53021,7,1,4619,1.5154795410261963,0.0015154795410261962
53022,28,1,19665,1.4238494787693874,0.0014238494787693872
53024,34,1,17977,1.8913055571007398,0.00189130555710074
53027,44,1,23361,1.8834810153674928,0.0018834810153674929
53029,31,1,21484,1.442934276671011,0.001442934276671011
53032,13,1,4860,2.674897119341564,0.002674897119341564
53033,6,1,4924,1.2185215272136474,0.0012185215272136475
53034,6,1,1629,3.6832412523020257,0.003683241252302026
53035,4,1,2206,1.813236627379873,0.001813236627379873
53036,4,1,3009,1.3293452974410103,0.0013293452974410102
53037,12,1,9823,1.2216227221826326,0.0012216227221826326
53038,10,1,4402,2.271694684234439,0.002271694684234439
53039,29,1,4637,6.254043562648264,0.006254043562648264
53040,17,1,8252,2.060106640814348,0.002060106640814348
53042,11,1,6432,1.7101990049751243,0.0017101990049751244
53044,2,1,2115,0.9456264775413711,0.0009456264775413711
53045,16,1,21464,0.7454342154304883,0.0007454342154304882
53046,1,1,1184,0.8445945945945946,0.0008445945945945946
53047,1,1,45,22.22222222222222,0.022222222222222223
53048,8,1,3119,2.5649246553382494,0.0025649246553382495
53050,10,1,6820,1.466275659824047,0.001466275659824047
53051,38,1,37668,1.0088138472974408,0.0010088138472974409
53057,2,1,1712,1.1682242990654206,0.0011682242990654205
53058,3,1,3348,0.8960573476702509,0.0008960573476702509
53059,2,1,1975,1.0126582278481011,0.0010126582278481013
53061,8,1,4882,1.6386726751331422,0.0016386726751331422
53065,2,1,2333,0.8572653236176596,0.0008572653236176596
53066,68,2,35414,1.9201445755915738,0.001920144575591574
53070,4,1,5005,0.7992007992007992,0.0007992007992007992
53072,34,1,25850,1.3152804642166342,0.0013152804642166344
53073,30,1,14913,2.011667672500503,0.0020116676725005027
53074,37,1,12788,2.8933375039099154,0.0028933375039099157
53075,3,1,3106,0.9658725048293626,0.0009658725048293626
53076,3,1,3854,0.7784120394395433,0.0007784120394395433
53080,17,1,5388,3.1551596139569416,0.0031551596139569415
53081,141,3,41666,3.384054144866318,0.0033840541448663178
53083,21,1,20969,1.0014783728360914,0.0010014783728360913
53085,15,1,11644,1.2882171075231879,0.001288217107523188
53086,12,1,8246,1.4552510308028135,0.0014552510308028135
53089,25,1,19223,1.3005254122665557,0.0013005254122665556
53090,36,1,22118,1.627633601591464,0.001627633601591464
53091,5,1,1949,2.565418163160595,0.002565418163160595
53092,35,1,20625,1.696969696969697,0.001696969696969697
53094,35,1,19175,1.8252933507170794,0.0018252933507170795
53095,92,2,27596,3.333816495144224,0.0033338164951442237
53097,11,1,6881,1.5986048539456474,0.0015986048539456475
53098,11,1,11748,0.9363295880149813,0.0009363295880149813
53103,8,1,3669,2.1804306350504223,0.0021804306350504225
53104,13,1,5610,2.3172905525846703,0.0023172905525846704
53105,49,1,29302,1.6722408026755853,0.0016722408026755853
53108,3,1,3329,0.9011715229798738,0.0009011715229798738
53110,32,1,18211,1.7571797265389053,0.001757179726538905
53114,9,1,2560,3.515625,0.003515625
53115,35,1,15722,2.2261798753339272,0.002226179875333927
53118,7,1,6860,1.0204081632653061,0.0010204081632653062
53119,9,1,6055,1.4863748967795212,0.001486374896779521
53120,17,1,10476,1.6227567773959526,0.0016227567773959527
53121,70,2,18993,3.6855683672932136,0.0036855683672932134
53122,6,1,6156,0.9746588693957116,0.0009746588693957114
53125,4,1,1700,2.3529411764705883,0.002352941176470588
53126,4,1,7265,0.5505849965588437,0.0005505849965588438
53128,5,1,9161,0.5457919441109049,0.0005457919441109049
53129,20,1,14005,1.4280614066404855,0.0014280614066404856
53130,8,1,7789,1.0270894851713956,0.0010270894851713956
53132,39,1,35619,1.0949212498947192,0.001094921249894719
53139,1,1,2330,0.4291845493562232,0.00042918454935622315
53140,85,2,30425,2.793755135579293,0.002793755135579293
53142,35,1,33967,1.0304118703447465,0.0010304118703447463
53143,62,2,21675,2.8604382929642442,0.0028604382929642443
53144,40,1,26843,1.4901464068844763,0.0014901464068844763
53146,2,1,7509,0.26634705020641897,0.00026634705020641894
53147,29,1,17092,1.6967002106248539,0.0016967002106248537
53149,34,1,19849,1.7129326414428938,0.001712932641442894
53150,19,1,25913,0.733222706749508,0.0007332227067495079
53151,39,1,32154,1.2129128568762828,0.0012129128568762828
53153,2,1,2624,0.7621951219512195,0.0007621951219512195
53154,39,1,36321,1.073758982406872,0.001073758982406872
53156,9,1,3364,2.67538644470868,0.00267538644470868
53158,18,1,17085,1.0535557506584723,0.0010535557506584723
53167,3,1,552,5.434782608695651,0.005434782608695652
53168,13,1,9512,1.3666947014297728,0.0013666947014297729
53170,4,1,2389,1.674340728338217,0.0016743407283382169
53172,25,1,20857,1.198638346837992,0.001198638346837992
53177,22,1,7970,2.7603513174404015,0.0027603513174404015
53178,10,1,2552,3.9184952978056424,0.003918495297805642
53179,4,1,7036,0.5685048322910745,0.0005685048322910744
53181,12,1,7338,1.6353229762878168,0.001635322976287817
53182,24,1,9873,2.4308720753570343,0.002430872075357034
53183,4,1,2779,1.439366678661389,0.0014393666786613889
53184,13,1,4115,3.1591737545565004,0.0031591737545565005
53185,16,1,18706,0.8553405324494815,0.0008553405324494814
53186,112,3,34092,3.2852282060307405,0.0032852282060307405
53188,103,3,35045,2.9390783278641743,0.0029390783278641745
53189,16,1,27399,0.5839629183546845,0.0005839629183546844
53190,45,1,19484,2.309587353726134,0.0023095873537261344
53191,5,1,2927,1.7082336863682952,0.0017082336863682953
53195,1,1,138,7.246376811594202,0.007246376811594203
53202,102,3,24967,4.085392718388273,0.004085392718388273
53203,61,2,1743,34.99713138267355,0.03499713138267355
53204,151,3,38778,3.8939604930630773,0.003893960493063077
53205,81,2,9119,8.882552911503454,0.008882552911503454
53206,96,2,23612,4.065729290191428,0.004065729290191428
53207,69,2,37103,1.8596878958574778,0.0018596878958574779
53208,104,3,29205,3.561034069508646,0.0035610340695086456
53209,104,3,48321,2.152273338714017,0.0021522733387140166
53210,68,2,25800,2.635658914728682,0.002635658914728682
53211,47,1,34389,1.3667161010788331,0.0013667161010788333
53212,165,3,30115,5.478997177486303,0.005478997177486303
53213,35,1,27755,1.2610340479192939,0.0012610340479192938
53214,135,3,35210,3.834138028969043,0.003834138028969043
53215,125,3,61028,2.048240152061349,0.002048240152061349
53216,63,2,31476,2.001524971406786,0.002001524971406786
53217,52,2,28398,1.8311148672441722,0.001831114867244172
53218,79,2,42728,1.8489046994944767,0.0018489046994944766
53219,25,1,34315,0.7285443683520327,0.0007285443683520326
53220,47,1,27224,1.7264178665883043,0.0017264178665883044
53221,43,1,39602,1.0858037472854907,0.0010858037472854906
53222,49,1,26340,1.8602885345482156,0.0018602885345482157
53223,79,2,28640,2.7583798882681565,0.0027583798882681566
53224,37,1,22320,1.657706093189964,0.001657706093189964
53225,14,1,26036,0.5377170072207712,0.0005377170072207712
53226,89,2,18985,4.6879115090861205,0.004687911509086121
53227,61,2,23975,2.5443169968717414,0.0025443169968717414
53228,13,1,14718,0.8832721837206142,0.0008832721837206142
53233,128,3,14850,8.61952861952862,0.008619528619528619
53235,14,1,9555,1.4652014652014653,0.0014652014652014652
53295,9,1,169,53.25443786982248,0.05325443786982249
53402,27,1,33780,0.7992895204262878,0.0007992895204262878
53403,147,3,26486,5.550101940647889,0.0055501019406478894
53404,41,1,13935,2.942231790455687,0.002942231790455687
53405,33,1,26450,1.2476370510396977,0.0012476370510396977
53406,55,2,25624,2.1464252263502965,0.0021464252263502966
53502,7,1,2375,2.9473684210526314,0.0029473684210526317
53503,2,1,1909,1.0476689366160292,0.0010476689366160294
53504,7,1,2182,3.2080659945004584,0.0032080659945004585
53505,1,1,363,2.7548209366391188,0.0027548209366391185
53506,3,1,1017,2.9498525073746316,0.0029498525073746312
53507,7,1,2214,3.1616982836495033,0.0031616982836495033
53508,17,1,5826,2.917953999313423,0.0029179539993134224
53510,5,1,1517,3.2959789057350033,0.0032959789057350032
53511,166,3,48897,3.3948913021248748,0.0033948913021248747
53515,9,1,2180,4.128440366972477,0.004128440366972477
53516,6,1,2349,2.5542784163473815,0.002554278416347382
53517,3,1,1815,1.6528925619834711,0.001652892561983471
53518,2,1,1431,1.397624039133473,0.001397624039133473
53520,18,1,6670,2.6986506746626686,0.0026986506746626685
53521,2,1,3491,0.5729017473503294,0.0005729017473503294
53522,1,1,971,1.0298661174047374,0.0010298661174047373
53523,17,1,5008,3.3945686900958467,0.0033945686900958465
53525,16,1,4132,3.8722168441432725,0.003872216844143272
53526,3,1,555,5.405405405405405,0.005405405405405406
53527,15,1,11112,1.349892008639309,0.0013498920086393088
53528,10,1,6376,1.5683814303638643,0.0015683814303638645
53529,2,1,2342,0.8539709649871904,0.0008539709649871904
53530,49,1,4455,10.998877665544333,0.010998877665544332
53531,12,1,4465,2.687569988801792,0.0026875699888017916
53532,19,1,15997,1.1877226980058762,0.0011877226980058762
53533,68,2,7072,9.615384615384615,0.009615384615384616
53534,26,1,11764,2.2101326079564774,0.0022101326079564773
53536,33,1,8813,3.744468398956087,0.0037444683989560877
53537,4,1,998,4.008016032064128,0.004008016032064128
53538,41,1,18657,2.1975665969877256,0.002197566596987726
53541,1,1,916,1.0917030567685588,0.001091703056768559
53543,6,1,1787,3.3575825405707893,0.003357582540570789
53544,4,1,824,4.8543689320388355,0.0048543689320388345
53545,146,3,22763,6.413917321969863,0.006413917321969863
53546,80,2,30123,2.655777976961126,0.002655777976961126
53549,56,2,10193,5.493966447562053,0.005493966447562052
53550,3,1,1286,2.332814930015552,0.0023328149300155523
53551,12,1,9055,1.3252346769740475,0.0013252346769740476
53553,1,1,717,1.394700139470014,0.001394700139470014
53554,6,1,1022,5.870841487279844,0.005870841487279843
53555,16,1,8625,1.855072463768116,0.0018550724637681159
53556,1,1,2325,0.4301075268817204,0.00043010752688172043
53557,2,1,394,5.0761421319796955,0.005076142131979695
53558,21,1,12609,1.6654770402093741,0.0016654770402093743
53559,12,1,6478,1.8524235875270145,0.0018524235875270144
53560,6,1,3569,1.6811431773606051,0.0016811431773606051
53561,2,1,2077,0.9629272989889264,0.0009629272989889263
53562,67,2,26490,2.529256323140808,0.0025292563231408076
53563,23,1,11282,2.03864563020741,0.00203864563020741
53565,15,1,4685,3.2017075773746,0.0032017075773745998
53566,80,2,15015,5.328005328005328,0.005328005328005328
53569,4,1,1216,3.2894736842105265,0.003289473684210526
53570,6,1,2555,2.3483365949119372,0.0023483365949119373
53572,20,1,11455,1.745962461807071,0.001745962461807071
53573,13,1,3061,4.246978111728193,0.004246978111728194
53574,11,1,3986,2.7596588058203713,0.0027596588058203713
53575,31,1,17518,1.769608402785706,0.001769608402785706
53576,10,1,2379,4.203446826397646,0.004203446826397646
53577,3,1,1388,2.161383285302594,0.002161383285302594
53578,23,1,6406,3.590384014985951,0.0035903840149859507
53579,5,1,1693,2.9533372711163612,0.0029533372711163615
53580,2,1,527,3.795066413662239,0.003795066413662239
53581,77,2,10080,7.638888888888888,0.007638888888888889
53582,2,1,1100,1.8181818181818181,0.0018181818181818182
53583,13,1,6029,2.1562448167191905,0.0021562448167191904
53585,8,1,2134,3.7488284910965324,0.0037488284910965324
53586,11,1,2133,5.157055789967182,0.005157055789967183
53587,3,1,1210,2.479338842975207,0.0024793388429752068
53588,12,1,3930,3.0534351145038165,0.0030534351145038168
53589,51,2,20300,2.5123152709359604,0.0025123152709359605
53590,86,2,40911,2.102124123096478,0.002102124123096478
