CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT
53212,35303,43.0415872,-87.9240961,53233,1
53211,37426,43.0472661,-87.8985764,53202,1
53208,26934,43.0453982,-87.9001095,53202,1
53208,27574,43.0418686,-87.9084624,53202,1
53224,28929,43.0122026,-87.9523576,53215,1
54650,11483,43.8754262,-91.1801525,54650,2
54603,7489,43.8838955,-91.2309818,54650,4
54729,7212,43.0365345,-89.411282,53713,1
53215,35464,43.0556602,-87.9181198,53212,3
53218,28400,43.0488227,-87.9278883,53205,24
53208,28397,43.0210082,-87.9968633,53214,27
53215,13748,38.8120934,-77.0405248,22314,1
53209,37477,43.0395821,-87.9198778,53233,5
53216,28435,43.0409377,-87.9365218,53233,10
53210,26933,43.0371135,-87.9137137,53290,1
53404,32431,42.5810126,-87.8338692,53140,1
53216,27576,43.0773764,-87.9580253,53216,1
53224,29587,43.1790677,-88.0077181,53223,2
53227,28405,43.0488227,-87.9278883,53205,1
53402,30141,42.7091628,-87.8045215,53403,2
53208,37820,43.0483622,-87.9296885,53205,10
53404,30981,42.7167377,-87.8003283,53403,5
53223,30895,43.1627769,-88.0154764,53224,2
53225,30107,43.0073399,-88.2232192,53186,1
53218,28505,43.1192086,-88.0324478,53225,13
53202,28397,43.0210082,-87.9968633,53214,5
53215,27529,43.0418568,-87.9096904,53202,1
53209,27890,43.03733013,-87.92320041,53233,1
53218,27228,43.0102909,-87.9870578,53219,2
53223,37477,43.0395821,-87.9198778,53233,2
53208,28400,43.0488227,-87.9278883,53205,19
53214,35303,43.0415872,-87.9240961,53233,1
53210,26909,43.0932201,-87.9477251,53216,6
53216,5317,32.9112562,-96.8758046,75234,1
53189,29703,43.0256503,-88.232283,53188,1
53215,27055,43.0395821,-87.9198778,53233,8
53216,28929,43.0122026,-87.9523576,53215,1
53206,27737,43.0530363,-87.934476,53205,5
53202,20037,0,0,,1
53218,26909,43.0932201,-87.9477251,53216,10
54601,19392,43.80054102,-91.25449207,54601,1
55921,7387,44.0526896,-91.6367827,55987,1
54701,8596,44.8113931,-91.5014253,54701,1
54603,14999,43.8113574,-91.2487587,54601,1
54729,13320,44.9363389,-91.3967156,54729,1
54669,19239,43.03521521,-89.44944207,53711,1
53209,28929,43.0122026,-87.9523576,53215,2
53209,30499,43.00679569,-88.02960138,53214,8
53209,34894,43.1103985,-87.9497902,53209,5
53208,28431,43.0654111,-87.9144034,53212,1
53224,27555,43.0511886,-87.939263,53205,1
54650,10902,43.8058612,-91.243225,54601,1
54601,11817,43.8165172,-91.2482325,54601,3
53225,27658,43.1244822,-87.9850609,53218,2
53208,19318,42.9943092,-87.9134072,53207,1
53405,30047,42.7265875,-87.8064506,53405,5
53223,37110,43.1847944,-88.0045085,53223,2
53205,26996,43.0426219,-87.9279631,53233,1
53402,35298,42.732284,-87.7922417,53404,4
53209,29715,43.1281001,-87.9909694,53218,1
53204,28434,43.0409377,-87.9365218,53233,4
53215,37820,43.0483622,-87.9296885,53205,4
53222,26909,43.0932201,-87.9477251,53216,2
53206,35464,43.0556602,-87.9181198,53212,6
53225,28509,43.0172491,-87.986702,53214,1
53225,37371,43.0388838,-87.9466914,53233,1
53404,None,,,,3
53405,28240,42.7091628,-87.8045215,53403,2
53402,12661,43.0718225,-89.3816961,53703,1
53402,20037,0,0,,1
53206,27682,43.0433322,-87.9238174,53233,2
53206,13748,38.8120934,-77.0405248,22314,1
53226,28432,43.1203566,-88.0140662,53218,1
53210,None,,,,10
53215,37986,43.0124994,-87.9928039,53214,3
53207,28434,43.0409377,-87.9365218,53233,1
53218,30644,,,,1
53204,29588,43.0392652,-87.9152463,53203,1
53212,28159,43.0395821,-87.9198778,53233,1
53221,37820,43.0483622,-87.9296885,53205,1
53216,26909,43.0932201,-87.9477251,53216,6
53216,19397,43.0383536,-87.9361611,53233,1
53218,27621,43.0565334,-87.9879237,53208,1
53214,,,,,1
53228,27615,43.0440971,-88.0289756,53226,1
53188,28623,43.0154068,-88.2346077,53188,1
53225,29410,43.0503087,-87.9430539,53205,1
53225,27579,43.1294477,-88.0226191,53225,1
54636,11617,43.8153635,-91.2460309,54601,1
53209,29697,43.1116189,-87.9641853,53209,5
54636,37152,43.0759324,-89.381178,53703,1
53105,28130,42.7300554,-87.9606641,53177,2
53206,41157,43.0488227,-87.9278883,53205,1
53204,34906,43.0186942,-87.9208782,53204,1
53209,37819,43.0433344,-87.9240303,53233,3
53090,37341,43.3902137,-88.1813243,53095,1
53218,28399,43.0210082,-87.9968633,53214,1
53218,27737,43.0530363,-87.934476,53205,1
53215,41157,43.0488227,-87.9278883,53205,1
53406,30187,42.7148104,-87.8143275,53405,1
53204,29210,43.0415872,-87.9240961,53233,1
53209,26937,43.0147369,-87.949006,53215,1
53225,28159,43.0395821,-87.9198778,53233,1
53218,1546,44.8233653,-87.38816573,54235,1
53209,28456,43.0483622,-87.9296885,53205,3
53209,28432,43.1203566,-88.0140662,53218,2
53206,37350,39.0948465,-84.4965748,41071,1
53209,37348,44.515313,-88.0112738,54301,1
53110,37371,43.0388838,-87.9466914,53233,1
53223,27222,43.0957561,-87.9707122,53216,1
53223,12627,38.8839902,-77.0227117,20410,1
53186,27282,43.0226032,-87.9314504,53204,1
53222,28127,43.3770743,-88.4380492,53027,1
53204,28504,43.0441177,-88.0289889,53226,4
53206,26933,43.0371135,-87.9137137,53290,2
53404,29679,42.726192,-87.7829817,53403,1
53208,26937,43.0147369,-87.949006,53215,1
54603,14279,43.8149618,-91.2504499,54601,1
53227,27227,43.0135771,-87.941262,53204,1
53210,28431,43.0654111,-87.9144034,53212,3
53218,12097,43.0603089,-89.2885089,53718,1
53215,20037,0,0,,1
53110,37156,42.9995223,-88.0412757,53227,1
53051,,,,,2
53220,19318,42.9943092,-87.9134072,53207,2
53218,28127,43.3770743,-88.4380492,53027,1
53221,28505,43.1192086,-88.0324478,53225,1
53072,34924,43.0215108,-88.2316651,53188,1
53212,27745,43.0625038,-87.9771504,53210,1
53211,28431,43.0654111,-87.9144034,53212,1
53223,28193,43.0210082,-87.9968633,53214,1
53224,27102,43.3185059,-87.9289788,53024,1
53225,28859,43.05991,-88.009118,53213,1
53225,28435,43.0409377,-87.9365218,53233,3
53205,37760,43.0559483,-88.2247031,53188,1
53228,28400,43.0488227,-87.9278883,53205,2
53207,27276,42.9668847,-87.9359115,53221,1
53212,29210,43.0415872,-87.9240961,53233,1
53208,27737,43.0530363,-87.934476,53205,7
53208,35084,43.05823,-89.2957787,53718,1
53233,12634,43.03884557,-87.91469278,53203,2
54601,11790,43.8146827,-91.2486459,54601,1
54601,11504,43.8845974,-91.1659721,54650,1
53219,28397,43.0210082,-87.9968633,53214,1
54669,9307,44.7753877,-91.4479622,54701,1
53214,29715,43.1281001,-87.9909694,53218,1
53022,28435,43.0409377,-87.9365218,53233,1
53216,37591,43.1156658,-87.9865519,53218,1
54669,11919,43.8146827,-91.2486459,54601,2
53206,19963,43.02236034,-87.91836009,53203,1
53216,12642,43.0727634,-89.3863029,53703,1
53105,19972,43.0512611,-87.9117979,53212,1
53089,28633,43.1340619,-88.2194648,53089,1
53204,12634,43.03884557,-87.91469278,53203,1
53212,28405,43.0488227,-87.9278883,53205,4
53210,35382,43.0743635,-87.9765372,53210,1
53221,33496,43.0185227,-87.9471891,53215,1
53202,19247,43.0554359,-87.9627249,53208,1
53189,28609,42.9895128,-88.2447349,53189,1
53225,13748,38.8120934,-77.0405248,22314,1
53405,29448,42.7168522,-87.8476854,53406,1
54729,1002,44.9599555,-89.6252381,54403,1
54729,37355,43.8276228,-91.2155493,54601,1
52049,7489,43.8838955,-91.2309818,54650,1
54636,20032,43.0741802,-89.4611365,53705,1
53213,28622,43.0607703,-87.934476,53205,2
53208,28444,43.0633551,-87.9180815,53212,1
53222,19215,43.0210082,-87.9968633,53214,1
54627,11210,43.8043634,-91.2427084,54601,1
53203,27737,43.0530363,-87.934476,53205,1
53404,19955,43.0230176,-87.9186945,53204,1
53212,27414,43.0659127,-87.8995488,53212,3
53916,35005,43.7717955,-88.4474104,54935,1
53233,29239,43.046,-87.9026344,53202,1
53186,30054,43.0139088,-88.2347018,53188,1
53209,27523,43.0417217,-87.9043253,53202,1
53224,37426,43.0472661,-87.8985764,53202,1
53406,28177,42.7077879,-87.8032018,53403,1
53403,28177,42.7077879,-87.8032018,53403,3
53218,28114,43.0383969,-87.947036,53233,1
53403,28353,42.7125,-88.1148376,53139,1
53221,35588,42.9277261,-87.9095444,53154,1
53209,28193,43.0210082,-87.9968633,53214,2
53228,30054,43.0139088,-88.2347018,53188,1
53186,28435,43.0409377,-87.9365218,53233,1
53225,28622,43.0607703,-87.934476,53205,3
53216,27555,43.0511886,-87.939263,53205,1
53206,27391,43.009808,-87.9618726,53215,1
55921,10532,43.8233966,-91.307804,55947,1
54601,20037,0,0,,3
53208,27410,43.0542029,-87.9572958,53208,1
53092,12770,35.20783477,-80.83076703,28235,1
54669,37355,43.8276228,-91.2155493,54601,1
53110,6405,43.0995937,-89.3645741,53704,1
53218,27084,43.1188947,-87.9982818,53218,1
53206,27621,43.0565334,-87.9879237,53208,1
53224,27621,43.0565334,-87.9879237,53208,1
53204,27894,43.0254095,-87.9103809,53204,1
53222,28405,43.0488227,-87.9278883,53205,2
53205,20037,0,0,,1
53214,27225,43.0193608,-87.958023,53215,2
53110,28452,42.9602523,-87.85793,53110,1
53204,27248,43.0481017,-87.9320632,53205,1
54914,35959,44.2630124,-88.4873824,54913,1
53226,27683,43.04333,-87.9237698,53233,1
53224,28434,43.0409377,-87.9365218,53233,1
53189,12703,43.0923884,-89.3525366,53704,1
53209,26948,43.0143562,-87.9246116,53204,1
53218,28600,43.0418686,-87.9084624,53202,1
53215,3574,44.909097,-89.651619,54401,1
54601,14570,43.8146827,-91.2486459,54601,1
54636,7750,43.7665519,-91.2105927,54601,1
53219,28468,43.052153,-87.9191542,53212,1
54729,8252,44.9247228,-91.3805012,54729,1
53204,19961,43.0741802,-89.4611365,53705,1
53209,32116,43.0750725,-88.0038214,53210,1
53027,28099,43.4260334,-88.1755546,53095,1
53209,37820,43.0483622,-87.9296885,53205,3
53225,37288,43.0533748,-89.3955318,53715,1
53218,28073,43.0402924,-87.9140894,53203,1
53402,37600,42.5891522,-87.8516686,53144,1
53225,28434,43.0409377,-87.9365218,53233,1
53207,28159,43.0395821,-87.9198778,53233,1
53221,26933,43.0371135,-87.9137137,53290,1
53072,29696,43.0215108,-88.2316651,53188,1
53206,33703,43.1772211,-88.0289143,53224,1
53224,35390,43.149703,-88.021426,53224,1
53214,27683,43.04333,-87.9237698,53233,1
53202,31930,39.3176611,-76.763428,21244,1
55921,,,,,1
54729,None,,,,1
54650,None,,,,3
54636,20037,0,0,,1
53216,30499,43.00679569,-88.02960138,53214,3
53405,26937,43.0147369,-87.949006,53215,1
52049,37403,42.8697828,-91.3982242,52043,1
53202,28504,43.0441177,-88.0289889,53226,4
53206,11642,43.8146827,-91.2486459,54601,1
53208,28434,43.0409377,-87.9365218,53233,6
53188,28397,43.0210082,-87.9968633,53214,5
53223,37760,43.0559483,-88.2247031,53188,1
53202,27448,42.9468522,-87.9290002,53221,1
53216,27222,43.0957561,-87.9707122,53216,1
53204,29704,38.8120934,-77.0405248,22314,1
53090,27839,43.0392652,-87.9152463,53203,1
53204,30981,42.7167377,-87.8003283,53403,1
53203,4425,43.0900814,-89.52733839,53562,1
53223,29414,43.0699934,-87.9058583,53212,1
53205,27055,43.0395821,-87.9198778,53233,5
53223,28405,43.0488227,-87.9278883,53205,1
53204,28435,43.0409377,-87.9365218,53233,8
53154,12703,43.0923884,-89.3525366,53704,1
53208,20037,0,0,,4
53208,,,,,1
53405,30172,42.7077879,-87.8032018,53403,1
53233,27361,43.0572735,-87.9615445,53208,1
53216,28114,43.0383969,-87.947036,53233,1
53225,28400,43.0488227,-87.9278883,53205,7
53212,27384,43.0641205,-87.96717239,53224,1
53402,28153,43.0386745,-87.9199844,53203,1
53189,29696,43.0215108,-88.2316651,53188,2
53402,30187,42.7148104,-87.8143275,53405,1
53205,19947,43.1469874,-89.2922553,53718,1
53209,37884,43.0533748,-89.3955318,53715,1
53208,26986,43.0451424,-87.9393587,53233,2
53115,2278,42.5215298,-89.032617,53511,1
53210,41157,43.0488227,-87.9278883,53205,2
53403,28621,42.5663706,-87.8468795,53142,1
53090,29704,38.8120934,-77.0405248,22314,1
53186,28153,43.0386745,-87.9199844,53203,1
53208,30499,43.00679569,-88.02960138,53214,14
53092,30730,43.3878021,-87.8723519,53074,1
53209,35115,43.0781352,-87.9160112,53212,2
53215,30167,43.1156658,-87.9865502,53218,1
53405,35298,42.732284,-87.7922417,53404,2
53218,26919,43.101475,-87.9903615,53218,2
53218,28397,43.0210082,-87.9968633,53214,15
53207,28502,42.988534,-87.8924671,53207,1
53210,27239,43.0795815,-87.9669952,53216,3
53204,19963,43.02236034,-87.91836009,53203,2
53218,37986,43.0124994,-87.9928039,53214,1
53218,30499,43.00679569,-88.02960138,53214,6
53225,30121,43.0641205,-87.96717239,53233,1
53218,27658,43.1244822,-87.9850609,53218,12
53209,28505,43.1192086,-88.0324478,53225,11
54650,11547,43.8165172,-91.2482325,54601,2
53212,28434,43.0409377,-87.9365218,53233,5
53225,32116,43.0750725,-88.0038214,53210,1
54601,15774,43.8348402,-91.2354192,54603,2
53206,28456,43.0483622,-87.9296885,53205,2
53233,30167,43.1156658,-87.9865502,53218,1
53209,36620,43.139876,-87.9648735,53209,4
53224,12634,43.03884557,-87.91469278,53203,2
53218,None,,,,8
53214,37820,43.0483622,-87.9296885,53205,1
53216,28622,43.0607703,-87.934476,53205,6
53205,27737,43.0530363,-87.934476,53205,3
53216,35464,43.0556602,-87.9181198,53212,1
53222,27752,43.0396707,-87.9504051,53208,1
53216,29697,43.1116189,-87.9641853,53209,4
53204,20977,,,,1
53222,27621,43.0565334,-87.9879237,53208,2
53210,27114,43.0555513,-87.9627692,53208,4
53208,28929,43.0122026,-87.9523576,53215,2
53212,26909,43.0932201,-87.9477251,53216,2
53202,30499,43.00679569,-88.02960138,53214,1
53210,27533,42.972029,-87.91947462,53221,3
53208,27606,43.0147369,-87.949006,53215,1
53404,28177,42.7077879,-87.8032018,53403,3
53206,28929,43.0122026,-87.9523576,53215,2
53220,35474,43.012833,-87.992762,53214,1
54220,21447,44.0961675,-87.6546449,54220,1
53210,27115,43.0554294,-87.9627315,53208,6
53405,30981,42.7167377,-87.8003283,53403,1
53216,26912,43.0663966,-87.946555,53206,1
53405,28130,42.7300554,-87.9606641,53177,1
53209,28504,43.0441177,-88.0289889,53226,3
53233,28049,43.0460713,-87.9120661,53202,1
53205,28434,43.0409377,-87.9365218,53233,3
53221,27087,42.990477,-87.9475489,53215,1
53212,27171,43.0418686,-87.9084624,53202,2
53144,30139,42.5492485,-87.8259614,53143,1
53204,19383,43.033482,-87.908583,53202,1
53221,28434,43.0409377,-87.9365218,53233,1
53206,30642,43.0715876,-87.9352803,53206,6
nan,28400,43.0488227,-87.9278883,53205,1
53211,30041,43.0829855,-87.9192769,53212,1
54601,20039,43.0718225,-89.3816961,53703,1
53215,28397,43.0210082,-87.9968633,53214,9
53223,27754,43.0054478,-87.9758952,53219,1
53404,26937,43.0147369,-87.949006,53215,1
53226,28504,43.0441177,-88.0289889,53226,1
53210,20037,0,0,,4
53224,8653,43.0743635,-87.9765372,53210,1
53188,19215,43.0210082,-87.9968633,53214,1
53216,27234,43.0676122,-87.9781143,53210,1
53186,4074,42.6796189,-89.0267822,53548,1
53001,28193,43.0210082,-87.9968633,53214,1
53206,27114,43.0555513,-87.9627692,53208,2
53206,28395,43.0229535,-87.9298417,53204,2
53206,12634,43.03884557,-87.91469278,53203,2
53405,28177,42.7077879,-87.8032018,53403,1
53209,29058,43.1648821,-88.0055004,53223,1
53206,26937,43.0147369,-87.949006,53215,1
53218,28049,43.0460713,-87.9120661,53202,1
53206,28193,43.0210082,-87.9968633,53214,2
