CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES
53220,37477,43.0395821,-87.9198778,53233.0,2,42.9559,-87.9933,6.87
53216,3574,44.909097,-89.651619,54401.0,1,43.0859,-87.9742,151.05
53214,27055,43.0395821,-87.9198778,53233.0,1,43.0215,-88.0176,5.09
53216,28117,43.0234168,-87.9869684,53214.0,1,43.0859,-87.9742,4.37
53218,27529,43.0418568,-87.9096904,53202.0,1,43.1122,-87.9932,6.43
53218,12634,43.03884557,-87.91469278,53203.0,1,43.1122,-87.9932,6.43
53212,12085,43.0835215,-89.3643879,53703.0,1,43.0712,-87.9084,73.48
53216,19945,43.07519041,-89.38072137,53703.0,2,43.0859,-87.9742,70.98
53233,19963,43.02236034,-87.91836009,53203.0,1,43.0407,-87.9357,1.54
53222,28479,43.0070203,-87.9299949,53204.0,1,43.0828,-88.0269,7.17
53212,27013,43.0755264,-87.9416179,53206.0,1,43.0712,-87.9084,1.7
53150,37795,43.0095436,-88.229806,53186.0,1,42.9047,-88.1214,9.08
53209,26996,43.0426219,-87.9279631,53233.0,1,43.1188,-87.9478,5.36
53202,28509,43.0172491,-87.986702,53214.0,1,43.0506,-87.8968,5.09
53216,27890,43.03733013,-87.92320041,53233.0,1,43.0859,-87.9742,4.23
53204,27102,43.3185059,-87.9289788,53024.0,1,43.0158,-87.9317,20.92
53406,28236,42.7059261,-87.9149225,53177.0,1,42.7242,-87.8551,3.29
53209,28305,43.0403329,-87.9070863,53202.0,1,43.1188,-87.9478,5.8
53218,28531,43.0426807,-87.9237513,53233.0,1,43.1122,-87.9932,5.95
53206,28482,43.0198308,-87.9186945,53204.0,1,43.0753,-87.9347,3.92
53221,28567,43.0081152,-88.2269647,53186.0,1,42.9549,-87.9447,14.73
53208,27803,43.0906535,-87.9450801,53206.0,1,43.0488,-87.9625,3.02
53110,28505,43.1192086,-88.0324478,53225.0,1,42.949,-87.862,14.57
53208,34922,43.0615264,-87.8864629,53211.0,1,43.0488,-87.9625,3.94
53110,48132,43.1281001,-87.9909694,53218.0,1,42.949,-87.862,13.98
53218,30121,43.0641205,-87.96717239,53233.0,1,43.1122,-87.9932,3.57
53205,27533,42.972029,-87.91947462,53221.0,1,43.0528,-87.9353,5.64
53209,27553,43.0898173,-87.9122221,53212.0,1,43.1188,-87.9478,2.69
53228,28405,43.0488227,-87.9278883,53205.0,1,42.9676,-88.0434,8.1
53209,29210,43.0415872,-87.9240961,53233.0,1,43.1188,-87.9478,5.47
53223,19391,43.1161888,-89.3540564,53704.0,1,43.1624,-87.9898,68.85
53209,27529,43.0418568,-87.9096904,53202.0,1,43.1188,-87.9478,5.65
53206,27277,43.3185059,-87.9289788,53024.0,1,43.0753,-87.9347,16.81
53228,27102,43.3185059,-87.9289788,53024.0,1,42.9676,-88.0434,24.92
53215,28193,43.0210082,-87.9968633,53214.0,2,43.006,-87.9429,2.92
54601,37424,43.8094582,-91.2413557,54601.0,1,43.7989,-91.2175,1.4
54601,36829,43.8299982,-91.2498674,54603.0,1,43.7989,-91.2175,2.69
53202,26933,43.0371135,-87.9137137,53290.0,1,43.0506,-87.8968,1.26
