CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES,DRIVING_DISTANCE_MILES,DRIVING_TIME_MINUTES,WALKING_DISTANCE_MILES,WALKING_TIME_MINUTES
53215,27787,43.0067816,-87.9304354,53204.0,7,43.006,-87.9429,0.63,0.6545340000000001,3.35,0.6545340000000001,13.266666666666667
53210,37820,43.0483622,-87.9296885,53205.0,5,43.0685,-87.9715,2.53,3.269565,9.1,2.989494,60.35
53209,19318,42.9943092,-87.9134072,53207.0,1,43.1188,-87.9478,8.77,10.403613,15.35,,
53216,28255,43.0604221,-87.946784,53205.0,1,43.0859,-87.9742,2.24,2.554173,6.9,2.462886,50.46666666666667
53209,28506,43.0658628,-87.9121427,53212.0,1,43.1188,-87.9478,4.08,5.631849,10.083333333333334,4.6140300000000005,93.51666666666667
53206,37477,43.0395821,-87.9198778,53233.0,9,43.0753,-87.9347,2.58,3.470148,7.833333333333333,3.0801600000000002,62.03333333333333
53224,28400,43.0488227,-87.9278883,53205.0,5,43.1594,-88.0327,9.29,10.442115000000001,22.416666666666668,,
53212,28456,43.0483622,-87.9296885,53205.0,2,43.0712,-87.9084,1.91,2.739231,5.616666666666666,2.557899,51.75
53219,27235,43.0175128,-88.0583091,53214.0,1,42.9959,-87.9944,3.56,5.585895,12.316666666666666,4.655016,95.58333333333333
53224,27890,43.03733013,-87.92320041,53233.0,1,43.1594,-88.0327,10.08,16.748991,20.616666666666667,,
53205,30121,43.0641205,-87.96717239,53233.0,1,43.0528,-87.9353,1.79,2.161701,6.116666666666666,2.132514,43.333333333333336
53212,28622,43.0607703,-87.934476,53205.0,9,43.0712,-87.9084,1.5,2.298321,6.05,2.0281860000000003,41.05
54650,12318,43.8730173,-91.1786141,54650.0,1,43.8974,-91.2314,3.12,5.281605,10.116666666666667,4.177467,83.35
53213,28456,43.0483622,-87.9296885,53205.0,1,43.0488,-88.0015,3.63,3.837159,10.316666666666666,3.837159,78.46666666666667
53233,28153,43.0386745,-87.9199844,53203.0,1,43.0407,-87.9357,0.81,0.9252900000000001,4.283333333333333,0.895482,17.833333333333332
53233,27081,43.0426483,-87.9212718,53233.0,1,43.0407,-87.9357,0.74,0.886788,3.25,0.899208,18.016666666666666
53204,30499,43.00679569,-88.02960138,53214.0,3,43.0158,-87.9317,4.99,5.2524180000000005,17.666666666666668,5.2524180000000005,108.83333333333333
53188,34924,43.0215108,-88.2316651,53188.0,1,43.0128,-88.2705,2.05,3.1397760000000003,8.116666666666667,2.539269,51.13333333333333
53225,27890,43.03733013,-87.92320041,53233.0,1,43.1154,-88.0346,7.79,9.415602,18.716666666666665,,
53209,28622,43.0607703,-87.934476,53205.0,5,43.1188,-87.9478,4.07,6.288246,10.433333333333334,4.482378,90.9
53212,28504,43.0441177,-88.0289889,53226.0,8,43.0712,-87.9084,6.37,10.070757,12.55,,
53213,28401,43.0488227,-87.9278883,53205.0,1,43.0488,-88.0015,3.72,3.9278250000000003,10.566666666666666,3.9278250000000003,80.2
53214,29697,43.1116189,-87.9641853,53209.0,3,43.0215,-88.0176,6.79,8.571663000000001,15.7,,
53208,20013,43.0345668,-87.924853,53233.0,1,43.0488,-87.9625,2.14,4.0588560000000005,6.316666666666666,2.768418,56.233333333333334
53218,37820,43.0483622,-87.9296885,53205.0,5,43.1122,-87.9932,5.45,5.890185000000001,15.616666666666667,,
53218,27533,42.972029,-87.91947462,53221.0,1,43.1122,-87.9932,10.38,11.607111,22.3,,
53209,26934,43.0453982,-87.9001095,53202.0,2,43.1188,-87.9478,5.61,7.569990000000001,14.966666666666667,,
53218,28432,43.1203566,-88.0140662,53218.0,3,43.1122,-87.9932,1.19,3.590622,5.433333333333334,1.34136,28.85
53212,29715,43.1281001,-87.9909694,53218.0,2,43.0712,-87.9084,5.73,8.422002,15.05,,
