INTERACTION_ID,SITE_ID,CLIENT_ID,CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP
1295901,7489,2841,54601,43.8838955,-91.2309818,54650
1375111,7489,2841,54601,43.8838955,-91.2309818,54650
1234775,11411,2841,54601,43.8164908,-91.2368844,54601
1329574,7489,2940,54729,43.8838955,-91.2309818,54650
1209713,12772,2940,54729,39.0621943,-77.1123801,20852
1192690,9028,2940,54729,44.8832938,-91.8939361,54751
1330329,37355,2940,54729,43.8276228,-91.2155493,54601
1263785,7489,2841,54601,43.8838955,-91.2309818,54650
1358840,7489,2841,54601,43.8838955,-91.2309818,54650
1224426,7489,2670,54601,43.8838955,-91.2309818,54650
1201358,7489,2670,54601,43.8838955,-91.2309818,54650
1182541,7489,2670,54601,43.8838955,-91.2309818,54650
1293121,7489,2670,54601,43.8838955,-91.2309818,54650
1205023,7489,2680,52049,43.8838955,-91.2309818,54650
1294529,7489,2680,52049,43.8838955,-91.2309818,54650
1290664,7489,2680,52049,43.8838955,-91.2309818,54650
1347591,7489,2680,52049,43.8838955,-91.2309818,54650
1342812,7489,2680,52049,43.8838955,-91.2309818,54650
1339004,7489,2680,52049,43.8838955,-91.2309818,54650
1322490,7489,2680,52049,43.8838955,-91.2309818,54650
1397125,7489,2680,52049,43.8838955,-91.2309818,54650
1375288,7489,2680,52049,43.8838955,-91.2309818,54650
1364742,7489,2680,52049,43.8838955,-91.2309818,54650
1356358,7489,2680,52049,43.8838955,-91.2309818,54650
1322207,7489,2843,54701,43.8838955,-91.2309818,54650
1392829,7489,2843,54701,43.8838955,-91.2309818,54650
1390518,7489,2843,54701,43.8838955,-91.2309818,54650
1385097,7489,2843,54701,43.8838955,-91.2309818,54650
1402515,,2843,54701,,,
1227879,7489,2890,54669,43.8838955,-91.2309818,54650
1221092,7489,2890,54669,43.8838955,-91.2309818,54650
1343474,7489,2890,54669,43.8838955,-91.2309818,54650
1327857,7489,2890,54669,43.8838955,-91.2309818,54650
1393407,7489,2890,54669,43.8838955,-91.2309818,54650
1361087,7489,2679,54636,43.8838955,-91.2309818,54650
1358729,7489,2679,54636,43.8838955,-91.2309818,54650
1273287,11827,2679,54636,43.8148533,-91.2466917,54601
1378332,37355,2679,54636,43.8276228,-91.2155493,54601
1370466,37355,2679,54636,43.8276228,-91.2155493,54601
1371986,37152,2679,54636,43.0759324,-89.381178,53703
1236177,None,2679,54636,,,
1357732,None,2679,54636,,,
1171600,7489,2679,54636,43.8838955,-91.2309818,54650
1226118,7489,2679,54636,43.8838955,-91.2309818,54650
1224960,7489,2679,54636,43.8838955,-91.2309818,54650
1187535,7489,2679,54636,43.8838955,-91.2309818,54650
1183443,7489,2679,54636,43.8838955,-91.2309818,54650
1302375,7489,2679,54636,43.8838955,-91.2309818,54650
1268164,7489,2679,54636,43.8838955,-91.2309818,54650
1350223,7489,2679,54636,43.8838955,-91.2309818,54650
1344565,7489,2679,54636,43.8838955,-91.2309818,54650
1389616,7489,2679,54636,43.8838955,-91.2309818,54650
