ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
55,Wisconsin,WI,55095,Polk,55095,"Polk County, Wisconsin",914.3195446,43549,0,24788,137,18647,304,7298,582,893,120,4321,289,1845,178,2518,275,8979,27,9092,8,5958,334,941,158,107,76,2251,372,788,110,2005,187,247,54,623,107,528,148,17,1.4,3.9,0.5,23.2,1.5,5.9,0.6,5.8,0.6,20.6,0.1,20.9,0,13.8,0.8,5,0.8,0.3,0.2,5.2,0.9,3.2,0.4,8.1,0.7,1.3,0.3,3.3,0.6,1.2,0.3,0.3803,0.6479,0.5634,0.1972,0.493,2.2818,0.4085,0.6056,0.507,0.6338,0.5352,0.2394,2.521,0.5775,0.0986,0.0986,0.0986,0.3099,0.7746,0.338,0.1127,0.2113,1.7465,0.1972,6.6479,0.2394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35143,6197,390,186,45,845,0,178,44,355,47,15,7,636,87,36,36,14.4,0.1,0.4,0.1,1.9,0,0.4,0.1,0.8,0.1,0,0.1,1.5,0.2,0.1,0.1
55,Wisconsin,WI,55097,Portage,55097,"Portage County, Wisconsin",800.8732241,70822,0,31147,159,28912,293,12595,903,1267,204,6556,523,2710,289,3459,410,11789,68,13610,0,7962,530,1295,239,551,203,6516,394,2377,283,1387,203,391,111,1461,192,3228,300,18.7,1.3,3.3,0.5,22.7,1.8,5.9,0.6,4.9,0.6,16.6,0.1,19.2,0,11.3,0.8,4.5,0.8,0.8,0.3,9.2,0.6,7.6,0.9,4.5,0.7,1.4,0.4,5.1,0.7,4.6,0.4,0.4366,0.4789,0.6901,0.1972,0.3239,2.1267,0.2958,0.2113,0.1972,0.1972,0.338,0.5775,1.5212,0.0423,0.5352,0.5352,0.5352,0.7042,0.4225,0.4225,0.507,0.8732,2.9294,0.7183,7.1125,0.3239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71844,5821,592,519,127,2379,0,2181,171,171,62,7,11,1151,240,108,108,8.6,0,0.7,0.2,3.4,0,3.1,0.2,0.2,0.1,0,0.1,1.6,0.3,0.2,0.2
55,Wisconsin,WI,55099,Price,55099,"Price County, Wisconsin",1254.054613,13351,0,11228,542,6676,551,3083,273,118,43,1554,179,828,125,724,162,3458,15,2272,87,2055,194,292,91,21,53,821,149,276,68,1316,141,164,55,341,66,188,91,23.5,2.1,1.8,0.7,23.3,1.9,8,1.2,5.5,1.2,25.9,0.1,17,0.7,15.6,1.5,4.4,1.3,0.2,0.4,6.1,1.1,2.5,0.6,11.7,1.2,2.5,0.8,5.1,0.9,1.4,0.7,0.8451,0,0.169,0.507,0.4366,1.9577,0.2394,0.8592,0.0704,0.7746,0.2958,0.1127,2.1127,0.2958,0.2817,0.2817,0.2817,0.1831,0.9296,0.9155,0.507,0.3662,2.9014,0.6901,7.2535,0.3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,11376,2332,223,73,47,254,0,84,17,120,26,115,16,165,72,10,10,17.7,0.1,0.5,0.4,1.9,0,0.6,0.1,0.9,0.2,0.9,0.1,1.2,0.5,0.1,0.1
55,Wisconsin,WI,55101,Racine,55101,"Racine County, Wisconsin",332.6413974,195859,0,82977,239,77648,589,39775,2252,3960,515,20592,1045,11962,903,9270,955,32310,116,45358,0,25539,1264,6807,578,2137,399,57014,1274,8026,669,899,198,825,190,4860,476,5549,519,20.9,1.2,4,0.5,26.5,1.3,8.9,0.7,4.9,0.5,16.5,0.1,23.2,0,13.4,0.7,8.8,0.7,1.2,0.2,29.1,0.7,9.7,0.8,1.1,0.2,1.1,0.2,6.3,0.6,2.8,0.3,0.6761,0.6901,0.9437,0.7324,0.3239,3.3662,0.8451,0.1831,0.8169,0.5211,0.9718,0.831,3.3239,0.9437,0.9718,0.9718,0.9718,0.8732,0.0563,0.2113,0.7887,0.7042,2.6337,0.5493,10.2956,0.9296,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,178649,17504,1624,21667,688,26795,0,2556,198,659,156,104,92,4691,706,542,542,9.2,0,11.1,0.4,13.7,0,1.3,0.1,0.3,0.1,0.1,0.1,2.4,0.4,0.3,0.2
55,Wisconsin,WI,55103,Richland,55103,"Richland County, Wisconsin",586.1492748,17408,0,8998,89,7580,188,3892,384,177,50,1906,210,1187,174,1479,238,4021,34,3753,40,2332,206,418,94,169,103,1040,169,403,104,670,111,132,41,461,110,397,129,22.9,2.3,2.1,0.6,25.1,2.7,9.6,1.4,8.6,1.4,23.1,0.2,21.6,0.2,13.5,1.2,5.5,1.2,1,0.6,6,1,4.5,1.2,7.4,1.2,1.7,0.5,6.1,1.4,2.3,0.7,0.8028,0.0423,0.2676,0.8451,0.9014,2.8592,0.6761,0.7465,0.6197,0.5634,0.7746,0.7183,3.4225,0.9859,0.2535,0.2535,0.2535,0.493,0.7324,0.5915,0.7465,0.5775,3.1409,0.8169,9.6761,0.8451,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13320,3593,315,109,36,433,0,119,42,35,17,0,15,247,58,97,97,21.1,0.2,0.6,0.2,2.5,0,0.7,0.2,0.2,0.1,0,0.1,1.4,0.3,0.6,0.8
55,Wisconsin,WI,55105,Rock,55105,"Rock County, Wisconsin",718.1670884,162532,0,69278,168,65237,516,32999,1843,3814,424,16964,973,9211,577,9208,825,26956,62,37677,0,21753,1076,4313,508,1890,363,29437,985,5490,604,1405,234,1112,244,3956,466,2901,374,20.7,1.2,4.5,0.5,26,1.5,8.3,0.5,5.7,0.5,16.6,0.1,23.2,0,13.5,0.7,6.6,0.8,1.2,0.2,18.1,0.6,7.9,0.9,2,0.3,1.7,0.4,6.1,0.7,1.8,0.2,0.6479,0.8169,0.9014,0.6338,0.4789,3.4789,0.9155,0.2113,0.8169,0.5634,0.9296,0.831,3.3522,0.9577,0.8873,0.8873,0.8873,0.7183,0.1549,0.5915,0.7465,0.493,2.7042,0.5915,10.4226,0.9577,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,153271,19081,1699,7460,492,14693,0,1795,264,460,130,15,14,4669,599,345,345,12,0,4.6,0.3,9,0,1.1,0.2,0.3,0.1,0,0.1,2.9,0.4,0.2,0.2
55,Wisconsin,WI,55107,Rusk,55107,"Rusk County, Wisconsin",913.5529545,14074,0,9231,86,6414,176,3389,341,275,73,1408,138,1161,135,1035,151,3403,25,2875,30,2353,165,334,96,41,50,769,57,160,72,951,91,126,38,282,73,192,95,24.6,2.5,4.1,1.1,22,2.1,11.3,1.3,7.4,1.1,24.2,0.2,20.4,0.2,16.9,1.2,5.2,1.5,0.3,0.4,5.5,0.4,1.7,0.8,10.3,1,2,0.6,4.4,1.1,1.4,0.7,0.9014,0.7465,0.0845,0.9296,0.7887,3.4507,0.8873,0.8169,0.3662,0.8873,0.662,0.2394,2.9718,0.8169,0.1549,0.1549,0.1549,0.0986,0.8592,0.8028,0.3521,0.3662,2.4789,0.4366,9.0563,0.7183,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12215,2507,232,88,19,279,0,8,8,37,15,10,9,329,33,18,18,18.1,0.1,0.6,0.1,2,0,0.1,0.1,0.3,0.1,0.1,0.1,2.3,0.2,0.1,0.1
55,Wisconsin,WI,55109,St. Croix,55109,"St. Croix County, Wisconsin",722.157497,89702,0,36326,92,34683,343,8146,912,1041,198,6853,603,2229,290,3320,445,12606,65,22271,0,7983,603,1787,275,524,176,5755,455,2463,343,955,146,194,71,1035,178,820,135,9.2,1,2.1,0.4,19.8,1.7,3.7,0.5,3.7,0.5,14.1,0.1,24.8,0,9,0.7,5.2,0.8,0.6,0.2,6.4,0.5,6.8,0.9,2.6,0.4,0.6,0.2,3,0.5,0.9,0.2,0.0282,0.0423,0.7324,0.0141,0.0704,0.8874,0.0423,0.0423,0.9296,0.0423,0.662,0.4225,2.0987,0.2817,0.3099,0.3099,0.3099,0.6761,0.1831,0.0141,0.0141,0.0986,0.986,0.0563,4.282,0.0141,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,74055,7470,825,639,226,2224,0,824,153,151,80,15,20,1846,328,56,56,8.4,0,0.7,0.3,2.5,0,0.9,0.2,0.2,0.1,0,0.1,2.1,0.4,0.1,0.1
55,Wisconsin,WI,55111,Sauk,55111,"Sauk County, Wisconsin",831.542477,64152,0,30525,150,26751,359,10434,806,809,153,6578,504,3921,392,4078,529,11832,71,14608,0,7845,547,1254,236,649,153,6057,790,2585,350,1927,230,399,117,1425,305,794,151,16.5,1.3,2.3,0.4,24.6,1.9,8.8,0.9,6.4,0.8,18.4,0.1,22.8,0,12.4,0.9,4.7,0.9,1.1,0.3,9.4,1.2,8.5,1.1,6.3,0.8,1.5,0.4,5.3,1.1,1.2,0.2,0.338,0.1268,0.7042,0.7042,0.6056,2.4788,0.493,0.3944,0.7746,0.4085,0.3662,0.7887,2.7324,0.7183,0.5493,0.5493,0.5493,0.7465,0.6338,0.493,0.5915,0.2113,2.6761,0.5775,8.4366,0.5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68978,8712,913,444,124,3426,0,331,84,747,152,0,22,1097,208,12,12,13.8,0,0.7,0.2,5.3,0,0.5,0.1,1.2,0.2,0,0.1,1.7,0.3,0,0.1
55,Wisconsin,WI,55113,Sawyer,55113,"Sawyer County, Wisconsin",1257.606891,16477,0,16503,288,7893,395,4075,359,395,102,1772,191,973,161,1227,198,4307,43,3093,102,2489,201,441,107,13,52,3825,2672,218,62,633,95,226,85,354,85,327,102,25.3,2.2,5,1.3,22.5,2.1,7.9,1.3,7.6,1.2,26.1,0.3,18.8,0.6,15.4,1.2,5.6,1.3,0.1,0.3,23.2,16.2,1.3,0.4,3.8,0.6,2.9,1.1,4.5,1,2,0.6,0.9437,0.8592,0.2394,0.493,0.8169,3.3522,0.831,0.8873,0.1549,0.7606,0.8169,0.0563,2.676,0.6761,0.9437,0.9437,0.9437,0.0563,0.3239,0.9718,0.3803,0.5211,2.2534,0.3944,9.2253,0.7465,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3,15670,2995,404,66,33,455,0,90,10,2668,145,5,9,539,149,2,2,18.5,0.1,0.4,0.2,2.8,0,0.5,0.1,16.2,0.9,0,0.1,3.3,0.9,0,0.1
